ГОРОД/РЕГИОН ,ЧИСЛО ЗАБОЛЕВШИХ,ЧИСЛО ВЫЗДОРОВЕВШИХ,ЧИСЛО УМЕРШИХ
Москва,522456,377131,7933
Московская область,98306,72319,1826
Санкт-Петербург,85873,50831,4620
Нижегородская область,48617,40741,996
Свердловская область,41361,33519,907
Ростовская область,35907,28774,1094
Красноярский край,31882,24342,858
Ханты-Мансийский АО,31652,26464,329
Воронежская область,30270,28551,437
Иркутская область,28591,24533,613
Архангельская область,26639,15665,315
Ставропольский край,24809,21080,485
Ульяновская область,24455,19663,306
Волгоградская область,24085,22251,256
Саратовская область,24005,17240,194
Мурманская область,23843,19555,394
Ямало-Ненецкий автономный округ,23787,16283,203
Алтайский край,23154,20361,452
Челябинская область,22194,20490,174
Оренбургская область,20753,18008,163
Хабаровский край,20485,13111,147
Новосибирская область,20354,16515,666
Краснодарский край,19869,12655,516
Омская область,19479,15233,458
Самарская область,19294,17297,364
Приморский край,18937,14010,197
Кемеровская область,18481,14996,319
Пензенская область,18092,13405,219
Республика Коми,17677,12236,289
Республика Дагестан,17619,15781,850
Республика Саха (Якутия),17192,10510,217
Пермский край,16902,11425,484
Тюменская область,16076,10631,113
Томская область,15839,10300,140
Забайкальский край,15752,12991,235
Брянская область,15511,11394,99
Республика Бурятия,15378,13140,295
Кировская область,15081,8518,185
Тульская область,14606,12279,454
Ленинградская область,14288,8602,126
Орловская область,14215,10975,171
Калужская область,14168,10787,97
Ярославская область,14059,12759,70
Белгородская область,14043,12168,67
Ивановская область,13797,9619,210
Курская область,13274,9896,153
Тверская область,12573,7402,355
Республика Башкортостан,12565,11185,69
Рязанская область,12540,9275,73
Республика Крым,12522,8080,216
Астраханская область,11797,8449,215
Тамбовская область,11645,9542,66
Владимирская область,11543,8808,277
Кабардино-Балкарская Республика,11539,8415,181
Удмуртская Республика,11237,9674,260
Республика Чувашия,11108,9720,203
Республика Тыва,11090,10182,122
Карачаево-Черкесская Республика,11090,7042,34
Смоленская область,10677,7294,257
Республика Карелия,10609,5245,73
Республика Калмыкия,10605,8031,120
Псковская область,10035,5119,72
Республика Хакасия,9740,6660,100
Липецкая область,9722,7716,88
Республика Алтай,9702,7407,20
Сахалинская область,9673,6534,5
Республика Мордовия,9605,7905,56
Костромская область,9603,5943,167
Новгородская область,9397,5863,89
Республика Татарстан,9366,8223,123
Амурская область,9355,6809,77
Вологодская область,9151,7677,74
Калининградская область,9099,5858,105
Республика Ингушетия,8473,7016,104
Республика Северная Осетия — Алания,8390,6173,72
Курганская область,7367,6622,109
Республика Адыгея,6975,5686,58
Республика Марий Эл,6913,5813,79
Камчатский край,6774,4422,70
Магаданская область,5120,4082,48
Севастополь,3579,2773,96
Чеченская Республика,3254,2229,52
Еврейская автономная область,2586,1423,47
Ненецкий автономный округ,587,329,0
Чукотский автономный округ,300,244,3
